country_code,country_name,region,sub_region,intermediate_region,indicator_code,indicator_name,year,inflation_rate,income_group,previous_inflation,avg_inflation_3yr
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1960-01-01,0.0,,,
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1961-01-01,0.0,,0.0,
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1962-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1963-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1964-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1965-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1966-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1967-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1968-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1969-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1970-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1971-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1972-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1973-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1974-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1975-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1976-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1977-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1978-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1979-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1980-01-01,0.0,,0.0,0.0
ABW,ARUBA,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,FP.CPI.TOTL.ZG,"INFLACION, PRECIOS AL CONSUMIDOR (% ANUAL)",1981-01-01,0.0,,0.0,0.0
